Index Name,Date,Open_spot,High_spot,Low_spot,Close_spot,Symbol,Expiry,Open_fut,High_fut,Low_fut,Close_fut,LTP_x,Settle Price,No. of contracts,Turnover * in   ₹ Lakhs,Open Int,Change in OI,Underlying Value,DaysToExpiry,TradeDate,STRIKE,LTP_y,IV,VOLUME,OI,CHNG IN OI,OptionType,ATM,EMA_5,EMA_15,Spot_Return,Futures_Return,Futures_Basis,Delta,Gamma,Theta,Vega,Rho,PCR_OI,PCR_VOLUME,Gamma_Exposure,Call_IV,Put_IV,Average_IV,IV_Spread,Call_Delta,Put_Delta,Delta_Neutral_Ratio
NIFTY 50,2025-06-05,24691.2,24899.85,24613.1,24750.9,,,,,,,,,,,,,,,2025-06-05,,,,,,,,,24696.69968666413,24694.395282710808,0.005294607789761705,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-06,24748.7,25029.5,24671.45,25003.05,,,,,,,,,,,,,,,2025-06-06,,,,,,,,,24798.816457776087,24732.977122371954,0.010135965436883998,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-09,25160.1,25160.1,25077.15,25103.2,,,,,,,,,,,,,,,2025-06-09,,,,,,,,,24900.277638517393,24779.25498207546,0.003997510624608427,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-10,25196.05,25199.3,25055.45,25104.25,,,,,,,,,,,,,,,2025-06-10,,,,,,,,,24968.268425678263,24819.87935931603,4.1826462015294284e-05,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-11,25134.15,25222.4,25081.3,25141.4,,,,,,,,,,,,,,,2025-06-11,,,,,,,,,25025.97895045218,24860.069439401526,0.0014787352445249067,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-12,25164.45,25196.2,24825.9,24888.2,,,,,,,,,,,,,,,2025-06-12,,,,,,,,,24980.052633634787,24863.585759476337,-0.010122094193621185,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-13,24473.0,24754.35,24473.0,24718.6,,,,,,,,,,,,,,,2025-06-13,,,,,,,,,24892.901755756528,24845.462539541793,-0.006837798882833083,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-16,24732.35,24967.1,24703.6,24946.5,,,,,,,,,,,,,,,2025-06-16,,,,,,,,,24910.76783717102,24858.09222209907,0.009177535114667245,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-17,24977.85,24982.05,24813.7,24853.4,,,,,,,,,,,,,,,2025-06-17,,,,,,,,,24891.645224780685,24857.505694336684,-0.0037389676871053394,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-18,24788.35,24947.55,24750.45,24812.05,,,,,,,,,,,,,,,2025-06-18,,,,,,,,,24865.113483187124,24851.823732544595,-0.0016651418462635466,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-19,24803.25,24863.1,24733.4,24793.25,,,,,,,,,,,,,,,2025-06-19,,,,,,,,,24841.158988791416,24844.50201597652,-0.0007579835582129375,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-20,24787.65,25136.2,24783.65,25112.4,,,,,,,,,,,,,,,2025-06-20,,,,,,,,,24931.57265919428,24877.989263979453,0.012790309347901757,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-23,24939.75,25057.0,24824.85,24971.9,,,,,,,,,,,,,,,2025-06-23,,,,,,,,,24945.015106129522,24889.72810598202,-0.005610555346030624,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-24,25179.9,25317.7,24999.7,25044.35,,,,,,,,,,,,,,,2025-06-24,,,,,,,,,24978.126737419683,24909.05584273427,0.00289706048224268,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-25,25150.35,25266.8,25125.05,25244.75,,,,,,,,,,,,,,,2025-06-25,,,,,,,,,25067.00115827979,24951.017612392487,0.007969960122065977,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-26,25268.95,25565.3,25259.9,25549.0,,,,,,,,,,,,,,,2025-06-26,,,,,,,,,25227.667438853194,25025.765410843425,0.011979963629751521,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-27,25576.65,25654.2,25523.55,25637.8,,,,,,,,,,,,,,,2025-06-27,,,,,,,,,25364.3782925688,25102.269734487996,0.0034696479984903748,,,,,,,,,,,,,,,,,
NIFTY 50,2025-06-30,25661.65,25669.35,25473.3,25517.05,,,,,,,,,,,,,,,2025-06-30,,,,,,,,,25415.26886171253,25154.117267676997,-0.004720968755390688,,,,,,,,,,,,,,,,,
NIFTY 50,2025-07-01,25551.35,25593.4,25501.8,25541.8,,,,,,,,,,,,,,,2025-07-01,,,,,,,,,25457.445907808353,25202.57760921737,0.0009694696194091494,,,,,,,,,,,,,,,,,
NIFTY 50,2025-07-02,25588.3,25608.1,25378.75,25453.4,,,,,,,,,,,,,,,2025-07-02,,,,,,,,,25456.097271872237,25233.930408065196,-0.00346699644467661,,,,,,,,,,,,,,,,,
